time,action,before,dmg.sec,dps.sec,dmg.all,dps.all,pureamp,critprob,critamp,direcprob,direcamp,amp,haste,dot.damage,action.damage,damage,エアロラ.remain,エアロガ.remain,クルセードスタンス.remain,aa.recast,global.recast,cast.recast,motion.recast,dot.recast,アサイズ.recast,クルセードスタンス.recast,
0.0,ストンジャ,none,17585.735294117643,0.0,0.0,0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4662.00000005534,-8213.000000132852,-2685.0000000121863,0.0,0.0,5.234016485162397e+18,0.0,3.0,0.0,0.0,
1.0000000000000007,none,none,0.0,0.0,0.0,0.0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4663.000000055362,-8214.000000132874,-2686.000000012208,-1.0000000000000007,-1.0000000000000007,5.234016485162397e+18,-1.0000000000000007,2.0000000000000213,-1.0000000000000007,-1.0000000000000007,
2.0000000000000013,none,none,2042.5,17585.735294117643,0.0,0.0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4664.000000055384,-8215.000000132895,-2687.00000001223,-2.0000000000000013,-2.0000000000000013,5.234016485162397e+18,-2.0000000000000013,1.0000000000000204,-2.0000000000000013,-2.0000000000000013,
2.99999999999998,none,none,7398.529411764706,8792.867647058822,0.0,0.0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4665.0000000554055,-8216.000000132917,-2688.000000012252,-2.99999999999998,-2.99999999999998,5.234016485162397e+18,-2.99999999999998,3.0,-2.99999999999998,-2.99999999999998,
3.9999999999999587,none,none,9757.20588235294,6542.745098039214,0.0,0.0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4666.000000055427,-8217.000000132939,-2689.0000000122736,-3.9999999999999587,-3.9999999999999587,5.234016485162397e+18,-3.9999999999999587,2.0000000000000213,-3.9999999999999587,-3.9999999999999587,
4.999999999999938,none,none,2042.5,6756.691176470587,0.0,0.0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4667.000000055449,-8218.00000013296,-2690.0000000122955,-4.999999999999938,-4.999999999999938,5.234016485162397e+18,-4.999999999999938,1.0000000000000204,-4.999999999999938,-4.999999999999938,
5.9999999999999165,none,none,7398.529411764706,7356.794117647058,0.0,0.0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4668.000000055471,-8219.000000132983,-2691.0000000123173,-5.9999999999999165,-5.9999999999999165,5.234016485162397e+18,-5.9999999999999165,3.0,-5.9999999999999165,-5.9999999999999165,
6.999999999999895,none,none,9757.20588235294,6471.078431372548,0.0,0.0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4669.000000055493,-8220.000000133005,-2692.000000012339,-6.999999999999895,-6.999999999999895,5.234016485162397e+18,-6.999999999999895,2.0000000000000213,-6.999999999999895,-6.999999999999895,
7.999999999999874,none,none,0.0,6603.5714285714275,0.0,0.0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4670.000000055515,-8221.000000133026,-2693.000000012361,-7.999999999999874,-7.999999999999874,5.234016485162397e+18,-7.999999999999874,1.0000000000000204,-7.999999999999874,-7.999999999999874,
8.999999999999853,none,none,17155.735294117647,6997.775735294117,0.0,0.0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4671.0000000555365,-8222.000000133048,-2694.0000000123828,-8.999999999999853,-8.999999999999853,5.234016485162397e+18,-8.999999999999853,3.0,-8.999999999999853,-8.999999999999853,
9.999999999999831,none,none,0.0,6220.245098039215,0.0,0.0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4672.000000055558,-8223.00000013307,-2695.0000000124046,-9.999999999999831,-9.999999999999831,5.234016485162397e+18,-9.999999999999831,2.0000000000000213,-9.999999999999831,-9.999999999999831,
10.99999999999981,none,none,0.0,7313.794117647059,0.0,0.0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4673.00000005558,-8224.000000133092,-2696.0000000124264,-10.99999999999981,-10.99999999999981,5.234016485162397e+18,-10.99999999999981,1.0000000000000204,-10.99999999999981,-10.99999999999981,
11.999999999999789,none,none,24870.441176470587,6648.903743315508,0.0,0.0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4674.000000055602,-8225.000000133114,-2697.0000000124483,-11.999999999999789,-11.999999999999789,5.234016485162397e+18,-11.999999999999789,3.0,-11.999999999999789,-11.999999999999789,
12.999999999999767,none,none,0.0,6094.828431372549,0.0,0.0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4675.000000055624,-8226.000000133135,-2698.00000001247,-12.999999999999767,-12.999999999999767,5.234016485162397e+18,-12.999999999999767,2.0000000000000213,-12.999999999999767,-12.999999999999767,
13.999999999999746,none,none,19514.41176470588,7539.106334841629,0.0,0.0,1.0,0.15,1.075,0.0,1.0,1.075,1.0,0.0,0.0,0.0,-4676.000000055646,-8227.000000133157,-2699.000000012492,-13.999999999999746,-13.999999999999746,5.234016485162397e+18,-13.999999999999746,1.0000000000000204,-13.999999999999746,-13.999999999999746,
